ID;Organisation;Sector;Subsector;Service;Province_CODE;Municipality_CODE;Barangay;Status;Beneficiaries;Beneficiary_type
53;PRC;WASH;WASH;Water Distribution;5620;562120;;Finished;1500;liters
13;PRC;WASH;WASH;Water Distribution;1752;175204;Poblacion;Finished;10,000;liters
15;PRC;WASH;WASH;Water Distribution;1752;175204;;Finished;3000;liters
16;PRC;WASH;WASH;Water Distribution;1752;175204;Nasucob;Finished;750;liters
23;PRC;Health;Welfare;Welfare Desk;7220;722170;;Finished;1;unit
52;PRC;Health;Welfare;Welfare Desk;5410;541110;;Finished;1;unit
61;PRC;Health;Welfare;Welfare Desk;8370;837380;;Finished;1;unit
72;PRC;Health;Welfare;Welfare Desk;1759;175910;;Finished;1;unit
86;PRC;Health;Welfare;Welfare Desk;1667;166724;Lipata;Finished;1;unit
87;PRC;Health;Welfare;Welfare Desk;1667;166724;;Finished;1;unit
88;PRC;Health;Welfare;Welfare Desk;1667;166724;;Finished;1;unit
90;;;;;;;;;;
91;;;;;;;;;;
92;;;;;;;;;;
93;;;;;;;;;;
94;;;;;;;;;;
95;;;;;;;;;;
96;;;;;;;;;;
97;;;;;;;;;;
98;;;;;;;;;;
99;;;;;;;;;;
100;;;;;;;;;;
101;;;;;;;;;;
102;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
